feature_index,feature_name
1,packet_count
2,bytes_total
3,packets_per_sec
4,bytes_per_sec
5,packet_length_mean
6,packet_length_std
7,packet_length_min
8,packet_length_max
9,src_ip_count
10,dst_ip_count
11,unique_flow_pairs
12,src_port_count
13,dst_port_count
14,protocol_count
15,src_to_dst_ip_ratio
16,tcp_packet_ratio
17,udp_packet_ratio
18,icmp_packet_ratio
19,syn_count
20,syn_ratio
21,ack_count
22,ack_ratio
23,fin_count
24,rst_count
25,rst_ratio
26,psh_count
27,tcp_flag_pattern_count
28,ttl_mean
29,ttl_std
30,ttl_min
31,ttl_max
32,tcp_window_mean
33,tcp_window_std
34,zero_tcp_window_ratio
35,src_ip_entropy
36,dst_port_entropy
37,iat_mean
38,iat_std
39,iat_max
40,active_duration_sec
41,iat_burstiness
42,max_src_ip_share
43,max_dst_port_share
44,missing_packet_length_ratio
45,missing_ttl_ratio
